Coal Flow Rate (t/h),Total Air Flow Rate (t/h),Main Steam Pressure (MPa),Main Steam Temperature (C),Main Steam Flow Rate (t/h),Feed Water Temperature (C),Hot Reheat Steam Temperature (C,Condenser Vacuum (kPa),Thermal Efficiency (%),Turbine Heat Rate (kJ/kWh),Power (MW)
cfr,tafr,msp,mst,msfr,fwt,htst,cv,te,thr,power
139.53,1501.19,13.45,554.74,1065.05,263.15,557.08,-93.17,38.2,8063.91,364.32
138.71,1498.8,13.63,554.74,1064.74,262.9,555.45,-93.3,38.2,8056.87,363.92
140.19,1520.58,13.74,555.35,1069.84,263.01,555.34,-93.27,38.03,8078.84,364.74
139.89,1510.6,13.51,554.68,1070.35,262.79,557.52,-93.25,38,8081.32,365.16
139.18,1521.25,13.71,553.88,1067.66,263.26,558.52,-93.17,38.15,8040.58,365.9
138.84,1498.91,13.7,552.86,1064.6,263.03,557.63,-93.14,38.18,8035.25,364.83
139.09,1500.54,13.55,553.54,1067.53,263.13,555.32,-93.12,38.1,8061.85,364.42
181.48,1886.37,16.38,560.29,1368.55,273.9,562.96,-92.54,38.08,8194.46,449.31
211.99,2307.39,20.79,560.04,1674.8,286.92,565.21,-92.09,39.55,7934.85,551.66
192.56,2079.05,20.41,561.61,1565.94,284.9,564.16,-91.82,40.25,7780.09,528.84
192.36,2011.95,19.12,561.67,1542.23,283.8,565.62,-91.93,39.91,7833.79,519.83
193.28,2016.1,19.29,562.65,1541.93,283.9,564.11,-91.64,39.87,7835.27,519.61
174.95,1909.41,19.14,560.42,1447.42,282.23,558.5,-92.04,40.78,7652.9,497.82
176.3,1802.29,17.8,557.72,1382.02,277.56,554.53,-92.1,39.22,7902.91,465.11
196.48,1979.22,18.59,561.35,1555.93,281.88,563.7,-91.92,38.55,8087.62,510.5
178.46,1951.45,19.25,556.12,1491.28,283.4,558.42,-92.2,40.52,7679.36,508.14
161.58,1741.24,17.99,551.43,1332.66,277.84,554.21,-92.19,40,7728.06,456.52
179.93,1849.28,17.42,555.89,1407.58,277.84,560.8,-91.97,39.46,7983.21,470.51
168.21,1802.93,17.56,556.37,1349.21,277.12,560.43,-92.06,40.13,7827.9,459.58
152.52,1678,16.77,555.04,1229.75,272.92,557.81,-92.16,40.33,7763.64,425.73
161.52,1715.33,15.35,553.98,1245.27,271.98,563.73,-92.51,39.65,7928.33,425.03
156.4,1671.45,16.1,554.38,1246.48,271.14,562.72,-92.52,38.87,8074.5,418.64
155.29,1647.55,16.18,550.9,1243.08,271.03,556.7,-92.53,39.02,8022.38,417.8
158.25,1665.39,15.74,554.58,1223.53,270.88,564.04,-92.57,39.46,7939.73,418.6
145.14,1590.72,15.29,556.43,1157.05,269.42,560.58,-92.59,39.86,7834.48,401.97
144.81,1537.38,13.87,555.49,1114.86,265.48,558.2,-92.77,38.84,8048.61,380.24
143.01,1535.43,14.12,555.07,1113.54,265.32,557.35,-93.01,38.92,8023.85,380.67
142.56,1527.77,13.92,554.66,1120.75,265.45,555.93,-93.07,38.76,8068.73,380.46
143.56,1536.39,13.96,555.89,1114.06,265.34,557.17,-93.13,38.9,8033.19,380.76
142.61,1536.34,13.96,553.84,1105.53,265.22,558.7,-93.19,39.22,7976.13,380.26
142.51,1535.93,14.04,552.53,1121.29,265.09,556.17,-93.25,38.76,8072.81,380.33
145.32,1554.33,13.82,550.4,1110.95,265.27,553.75,-93.32,39.19,7979.3,380.1
144.21,1554.12,13.96,555.01,1104.84,265.17,564.99,-93.32,39.2,7986.59,381.41
142.04,1538.86,14,553.11,1113.45,265.29,556.58,-93.33,38.97,8017.87,380.33
144.22,1555.53,13.82,553.8,1118.5,265.29,554.41,-93.33,38.87,8029.9,381.16
144.87,1568.39,13.81,554.28,1118.78,265.5,556.21,-93.33,38.85,8026.45,381.89
144.44,1562.68,13.95,554.33,1117.19,265.38,558.08,-93.33,38.86,8042.45,381.14
136.29,1474.74,13.7,554.96,1052.36,262.47,559.2,-93.08,38.46,8084.12,359.96
137.02,1469.24,13.53,553.51,1055.27,262.55,555.99,-92.86,38.46,8081.02,359.9
199.46,1970.56,17.85,556.48,1505.44,279.12,563.46,-92.42,38.91,8149.19,491.93
215.26,2148.05,19.82,556.01,1668.13,285.8,565.87,-92.54,39.96,7971.36,548.21
196.72,2075.34,21.48,555.65,1622.87,287.22,564.87,-91.8,41.22,7727.81,545.06
178.58,1901.7,20.61,555.57,1496.34,283.97,556.98,-91.93,41.65,7610.08,512.2
160.33,1697.44,18.14,551.29,1326.43,278.01,553.75,-92.06,41.4,7609.53,459.67
148.35,1589.94,16.41,550.76,1213.51,272.42,556.54,-92.19,40.5,7748.31,420.74
133.24,1506.7,13.59,556.26,1062.34,264.03,557.83,-92.6,39.21,7993.7,365.62
133.25,1488.69,13.44,556.96,1059.82,262.69,557.33,-92.6,38.47,8138.62,359.65
133.69,1487.93,13.28,556.75,1052.3,262.69,558.61,-92.61,38.71,8077.71,359.87
160.47,1756.09,16.25,552.54,1266.76,273.12,562.45,-92.85,40.04,7839.65,434.05
158.2,1744.66,16.27,552.88,1283.53,273.06,557.25,-92.86,39.68,7950,433.84
160.54,1751.71,16.16,552.63,1283.24,272.95,557.21,-92.87,39.54,7944.46,434
